Driver,DriverNumber,Team,LapNumber,Stint,TyreLife,Compound,LapTime,LapTime_s,TrackStatus,PitOutTime,PitInTime,Sector1Time,Sector2Time,Sector3Time,SpeedI1,SpeedI2,SpeedFL,SpeedST,compound_order
ALO,14,Aston Martin,23.0,2.0,8.0,HARD,0 days 00:01:17.947000,77.947,1,,,0 days 00:00:20.610000,0 days 00:00:36.735000,0 days 00:00:20.602000,195.0,183.0,242.0,260.0,2.0
ALO,14,Aston Martin,24.0,2.0,9.0,HARD,0 days 00:01:17.748000,77.748,1,,,0 days 00:00:20.681000,0 days 00:00:36.586000,0 days 00:00:20.481000,194.0,184.0,242.0,259.0,2.0
ALO,14,Aston Martin,25.0,2.0,10.0,HARD,0 days 00:01:17.685000,77.685,1,,,0 days 00:00:20.514000,0 days 00:00:36.740000,0 days 00:00:20.431000,196.0,183.0,249.0,253.0,2.0
ALO,14,Aston Martin,26.0,2.0,11.0,HARD,0 days 00:01:16.293000,76.293,1,,,0 days 00:00:19.940000,0 days 00:00:36.112000,0 days 00:00:20.241000,205.0,191.0,250.0,269.0,2.0
ALO,14,Aston Martin,27.0,2.0,12.0,HARD,0 days 00:01:16.744000,76.744,1,,,0 days 00:00:20.041000,0 days 00:00:36.452000,0 days 00:00:20.251000,198.0,188.0,247.0,262.0,2.0
ALO,14,Aston Martin,28.0,2.0,13.0,HARD,0 days 00:01:16.414000,76.414,1,,,0 days 00:00:20.113000,0 days 00:00:36.177000,0 days 00:00:20.124000,195.0,189.0,246.0,261.0,2.0
ALO,14,Aston Martin,29.0,2.0,14.0,HARD,0 days 00:01:16.279000,76.279,1,,,0 days 00:00:20.058000,0 days 00:00:36.094000,0 days 00:00:20.127000,204.0,189.0,247.0,263.0,2.0
ALO,14,Aston Martin,30.0,2.0,15.0,HARD,0 days 00:01:17.307000,77.307,1,,,0 days 00:00:20.460000,0 days 00:00:36.170000,0 days 00:00:20.677000,205.0,190.0,250.0,262.0,2.0
ALO,14,Aston Martin,31.0,2.0,16.0,HARD,0 days 00:01:16.142000,76.142,1,,,0 days 00:00:20.187000,0 days 00:00:35.973000,0 days 00:00:19.982000,204.0,190.0,251.0,263.0,2.0
ALO,14,Aston Martin,32.0,2.0,17.0,HARD,0 days 00:01:16.088000,76.088,1,,,0 days 00:00:19.874000,0 days 00:00:35.834000,0 days 00:00:20.380000,205.0,193.0,252.0,269.0,2.0
ALO,14,Aston Martin,33.0,2.0,18.0,HARD,0 days 00:01:15.823000,75.823,1,,,0 days 00:00:19.827000,0 days 00:00:35.918000,0 days 00:00:20.078000,,193.0,251.0,265.0,2.0
ALO,14,Aston Martin,34.0,2.0,19.0,HARD,0 days 00:01:17.347000,77.347,1,,,0 days 00:00:21.152000,0 days 00:00:36.128000,0 days 00:00:20.067000,200.0,190.0,252.0,270.0,2.0
ALO,14,Aston Martin,35.0,2.0,20.0,HARD,0 days 00:01:16.024000,76.024,1,,,0 days 00:00:19.912000,0 days 00:00:35.979000,0 days 00:00:20.133000,207.0,191.0,253.0,268.0,2.0
